SBPVP,Lat (N),Long (W)
W01 A,43.331631,-80.521171
W01 B,43.331626,-80.521244
W01 C,43.331628,-80.521221
W06 A,43.331557,-80.521137
W06 B,43.331554,-80.521174
W06 C,43.331552,-80.521197
W06 D,43.331576,-80.521142
