Name,K_cmsec
1,9.90E-04
1b,4.82E-04
2,9.93E-05
3,6.61E-04
4,6.40E-04
5,1.10E-04
6,5.62E-04
7,2.27E-03
8,7.51E-04
9,9.28E-04
10,1.48E-03
11,1.56E-04
12,5.24E-04
13,1.53E-03
14,4.05E-04
15,2.46E-04
16,1.26E-03
16b,1.55E-03
17,4.20E-04
18,8.73E-04
19,1.07E-03
20,1.85E-03
21,6.53E-04
22,1.63E-03
